Id,Title,Description,Publisher,Author,Isbn,Edition,Released year,Retail price,University,Image,Created at,Updated at,Department,Semester,Pages
95,Electrical Measurements & Instrumentation,,Techmax,Talange D.B.,978-93-5077-237-9,,,295,Pune University,/uploads/book/image/95/electrical_measurements___instrumentation369f1835-e1bb-4555-892f-6e66b9e7621c.jpg,2014-06-26 03:04:34 UTC,2014-06-26 03:04:34 UTC,Electrical Engg (ELE),3,
96,Thermodynamics,,Techmax,Singhal B. L.,978-93-5077-238-6,,,425,Pune University,/uploads/book/image/96/thermodynamicscd0561a7-826c-41c3-9fe4-566445c2ea73.jpg,2014-06-26 03:04:35 UTC,2014-06-26 03:04:35 UTC,Mechanical Engg (ME),3,
97,Electronic Devices and Circuits,,Techmax,Katre J. S.,978-93-5077-232-4,,,425,Pune University,/uploads/book/image/97/electronic_devices_and_circuits703de674-e386-445a-b8c2-25522b3075f4.jpg,2014-06-26 03:04:35 UTC,2014-06-26 03:04:35 UTC,E & TC (ECE::E & TC),3,
98,Signal and Systems,,Techmax,Katre J. S.,978-93-5077-233-1,,,485,Pune University,/uploads/book/image/98/signal_and_systemsa0c839fe-4780-4a1d-9006-696963d96c84.jpg,2014-06-26 03:04:36 UTC,2014-06-26 03:04:36 UTC,E & TC (ECE::E & TC),3,
99,Digital Electronics,,Techmax,Katre J. S.,978-93-5077-224-9,,,445,Pune University,/uploads/book/image/99/digital_electronics5c8992e0-f9a0-421a-ad33-4b3d162677f3.jpg,2014-06-26 03:04:37 UTC,2014-06-26 03:04:37 UTC,E & TC (ECE::E & TC),3,
100,Digital Electronics and Logic Design,,Techmax,Katre J. S.,978-93-5077-225-6,,,465,Pune University,/uploads/book/image/100/digital_electronics_and_logic_design9ef4e8b8-afcc-451e-8503-7f109e6350ff.jpg,2014-06-26 03:04:38 UTC,2014-06-26 03:04:38 UTC,Comp. Sc. Engg (CSE),3,
101,Computer Organization,,Techmax,Sultania Dilip Kumar,978-93-5077-239-3,,,365,Pune University,/uploads/book/image/101/computer_organizationbe3087ae-cffd-4dbd-a2ee-2bcb996d77d1.jpg,2014-06-26 03:04:39 UTC,2014-06-26 03:04:39 UTC,Info. Tech (IT),3,
102,Fundamentals of Data Structures,,Techmax,Sultania Dilip Kumar,978-93-5077-240-9,,,445,Pune University,/uploads/book/image/102/fundamentals_of_data_structures7e24ece2-7b92-4bb8-98d3-3f4ce84b618c.jpg,2014-06-26 03:04:40 UTC,2014-06-26 03:04:40 UTC,Info. Tech (IT),3,
103,Network Theory,,Techmax,Katre J. S.,978-93-5077-241-6,,,485,Pune University,/uploads/book/image/103/network_theoryd1db1355-fb68-41d1-992d-f5a205b05ba0.jpg,2014-06-26 03:04:41 UTC,2014-06-26 03:04:41 UTC,E & TC (ECE::E & TC),3,
104,Numerical Methods,,Techmax,Khan Atiya Jaweed,81- P283,,,210,Pune University,/uploads/book/image/104/numerical_methods515b9398-5020-41de-acb4-8d0cfa306a6d.jpg,2014-06-26 03:04:42 UTC,2014-06-26 03:04:42 UTC,Bachelor of Computer Application (BCA),3,
105,Problem Solving Using Computers and C Programming,,Techmax,Patil Sharada,978-93-5077-243-0,,,245,Pune University,/uploads/book/image/105/problem_solving_using_computers_and_c_programming67c5cd43-c22b-46f7-b4bd-ea3c3c52e712.jpg,2014-06-26 03:04:42 UTC,2014-06-26 03:04:42 UTC,Computer Science (B.Sc.Comp.),0,
106,Statistical Methods II,,Techmax,Rajput Nanda,978-93-5077-244-7,,,185,Pune University,/uploads/book/image/106/statistical_methods_ii4508da5c-f188-46ca-b1f1-d2db3230fb8a.jpg,2014-06-26 03:04:43 UTC,2014-06-26 03:04:43 UTC,Computer Science (B.Sc.Comp.),0,
107,Analog and Digital Electronics,,Techmax,Katre J. S.,978-93-5077-242-3,,,365,Pune University,/uploads/book/image/107/analog_and_digital_electronics084c0495-1a44-4809-b778-70a210788d07.jpg,2014-06-26 03:04:44 UTC,2014-06-26 03:04:44 UTC,Electrical Engg (ELE),3,
108,Material Science,,Techmax,Deshpande Sunil,978-93-5077-228-7,,,265,Pune University,/uploads/book/image/108/material_science13c72163-fd48-4e94-8bdc-8299082c964e.jpg,2014-06-26 03:04:45 UTC,2014-06-26 03:04:45 UTC,Mechanical Engg (ME),3,
109,Microprocessor Architecture,,Techmax,Shah Urvashi S.,978-93-5077-247-8,,,385,Pune University,/uploads/book/image/109/microprocessor_architecture429b9319-01a1-4f87-a6e9-16851aa22bc6.jpg,2014-06-26 03:04:46 UTC,2014-06-26 03:04:46 UTC,Comp. Sc. Engg (CSE),3,
110,Discrete Mathematics,,Techmax,Langote U. B.,978-93-5077-248-5,,,245,Pune University,/uploads/book/image/110/discrete_mathematics87e1c8da-62c0-413c-96c3-f0b95e6c6b0d.jpg,2014-06-26 03:04:47 UTC,2014-06-26 03:04:47 UTC,Computer Science (B.Sc.Comp.),0,
111,Statistical Methods I,,Techmax,Deshpande Bhavana,978-93-5077-250-8,,,245,Pune University,/uploads/book/image/111/statistical_methods_ib4d3e256-9087-4d19-9213-145d74e3938a.jpg,2014-06-26 03:04:48 UTC,2014-06-26 03:04:48 UTC,Computer Science (B.Sc.Comp.),0,
112,VB. Net  Programming,,Techmax,Kudale Ankush,81-P441,,,190,Pune University,/uploads/book/image/112/vb._net__programmingaa4e0ab6-78a6-490b-ac21-ca6a48febef9.jpg,2014-06-26 03:04:49 UTC,2014-06-26 03:04:49 UTC,Bachelor of Computer Application (BCA),5,
113,Algebra and Calculus,,Techmax,Palve Madhukar,978-93-5077-251-5,,,225,Pune University,/uploads/book/image/113/algebra_and_calculusd24db549-6355-4249-b822-ac3822e68c37.jpg,2014-06-26 03:04:50 UTC,2014-06-26 03:04:50 UTC,Computer Science (B.Sc.Comp.),0,
114,Building Technology and Materials,,Techmax,Kumavat V. K.,978-93-5077-254-6,,,425,Pune University,/uploads/book/image/114/building_technology_and_materials33c0e51a-39a2-44fd-b1c5-e63ce2fe10e1.jpg,2014-06-26 03:04:51 UTC,2014-06-26 03:04:51 UTC,Civil Engg (CIVIL),3,
115,Web Technologies,,Techmax,Padmawar Neelima V.,978-93-5077-256-0,,,205,Pune University,/uploads/book/image/115/web_technologies0612c2fc-a072-4c4f-bcc8-c90e09d7498a.jpg,2014-06-26 03:04:51 UTC,2014-06-26 03:04:51 UTC,Master of Computer Application (MCA),3,
116,Data Structures and Problem Solving,,Techmax,Sultania Dilip Kumar,978-93-5077-257-7,,,495,Pune University,/uploads/book/image/116/data_structures_and_problem_solving1ecbcf7d-8cc1-4e17-80ad-ab17789117d7.jpg,2014-06-26 03:04:52 UTC,2014-06-26 03:04:52 UTC,Comp. Sc. Engg (CSE),3,
117,Problem Solving and Object Oriented Programming,,Techmax,Desai Sharmishta,978-93-5077-255-3,,,285,Pune University,/uploads/book/image/117/problem_solving_and_object_oriented_programming78fa8d6d-e7b8-40c6-99fd-6fce585ddfed.jpg,2014-06-26 03:04:53 UTC,2014-06-26 03:04:53 UTC,Info. Tech (IT),3,
118,Finanacial Accounting,,Techmax,Chhagani Girish,978-93-5077-259-1,,,195,Pune University,/uploads/book/image/118/finanacial_accountingc3e46fc5-4e6c-41be-ae6a-cf170a337341.jpg,2014-06-26 03:04:54 UTC,2014-06-26 03:04:54 UTC,Bachelor of Computer Application (BCA),1,
119,File Organisation and Fundamental of Database,,Techmax,Alok Pawar,978-93-5077-260-7,,,185,Pune University,/uploads/book/image/119/file_organisation_and_fundamental_of_database92d4ba62-954c-4ca3-8ac3-ce7b756b67e6.jpg,2014-06-26 03:04:55 UTC,2014-06-26 03:04:55 UTC,Computer Science (B.Sc.Comp.),0,
120,Digital Electronics,,Techmax,Katre J. S.,978-93-5077-224-9,,,445,Pune University,/uploads/book/image/120/digital_electronics534d3b2c-56d1-4ac0-81a8-c909744c121f.jpg,2014-06-26 03:04:56 UTC,2014-06-26 03:04:56 UTC,E & TC (ECE::E & TC),3,
121,Modern Operating Environment and MS Office,,Techmax,Alok Pawar,978-93-5077-262-1,,,210,Pune University,/uploads/book/image/121/modern_operating_environment_and_ms_officecc634c5c-d6bd-4921-9b29-ccd275ffb1aa.jpg,2014-06-26 03:04:56 UTC,2014-06-26 03:04:56 UTC,Bachelor of Computer Application (BCA),1,
122,Business Communication,,Techmax,Kalkar Anjali,978-93-5077-275-1,,,120,Pune University,/uploads/book/image/122/business_communication4b62d2e6-fd37-4487-9d4f-f578409c780d.jpg,2014-06-26 03:04:57 UTC,2014-06-26 03:04:57 UTC,Bachelor of Computer Application (BCA),1,
123,Engineering Mathematics III,,Techmax,Mitkari Santosh,978-93-5077-278-2,,,135,Pune University,/uploads/book/image/123/engineering_mathematics_iiie15bb639-8021-475f-ae44-650e0c1cc63b.jpg,2014-06-26 03:04:58 UTC,2014-06-26 03:04:58 UTC,Mechanical Engg (ME),3,
124,Principles of Management,,Techmax,Kalkar Anjali,978-93-5077-282-9,,,140,Pune University,/uploads/book/image/124/principles_of_managementbd7532f9-a6f5-4ff3-8ad5-49c3ae0cf9df.jpg,2014-06-26 03:04:59 UTC,2014-06-26 03:04:59 UTC,Bachelor of Computer Application (BCA),1,
125,Engineering Mathematics  III,,Techmax,Mitkari Santosh,978-93-5077-291-1,,,135,Pune University,/uploads/book/image/125/engineering_mathematics__iiicdcf1162-8b19-41d1-b12d-9bc04574e9a6.jpg,2014-06-26 03:05:00 UTC,2014-06-26 03:05:00 UTC,Civil Engg (CIVIL),3,
126,Thermodynamics,,Techmax,Singhal B. L.,978-93-5077-238-6,,,425,Pune University,/uploads/book/image/126/thermodynamics057389a2-3a6a-477b-bab0-c7750b19db11.jpg,2014-06-26 03:05:01 UTC,2014-06-26 03:05:01 UTC,Mechanical Engg (ME),3,
127,Principles of Programming and Algorithm,,Techmax,Alok Pawar,978-93-5077-295-9,,,110,Pune University,/uploads/book/image/127/principles_of_programming_and_algorithm8e42a888-246d-4449-8451-d037d04ee3a6.jpg,2014-06-26 03:05:02 UTC,2014-06-26 03:05:02 UTC,Bachelor of Computer Application (BCA),1,
128,Analog and Digital Electronics,,Techmax,Katre J. S.,978-93-5077-242-3,,,365,Pune University,/uploads/book/image/128/analog_and_digital_electronics053eec80-9249-47c2-9e29-e8d65337e3d7.jpg,2014-06-26 03:05:03 UTC,2014-06-26 03:05:03 UTC,Electrical Engg (ELE),3,
129,Modern Dispensing Practices,,Techmax,Dhat Shalaka,978-93-5077-323-9,,,140,Pune University,/uploads/book/image/129/modern_dispensing_practices462ef6bc-f223-4a0e-8514-4e609b6a9215.jpg,2014-06-26 03:05:03 UTC,2014-06-26 03:05:03 UTC,Pharmacy (Ph),1,
130,Pharmaceutical Inorganic Chemistry,,Techmax,Sawant S.D,978-93-5077-326-0,,,210,Pune University,/uploads/book/image/130/pharmaceutical_inorganic_chemistry80fcd8b2-b046-490e-9e6d-c23d33fdd7f1.jpg,2014-06-26 03:05:04 UTC,2014-06-26 03:05:04 UTC,Pharmacy (Ph),1,
131,Pharmaceutics - I,,Techmax,Madgulkar Ashwini,978-93-5077-332-1,,,85,Pune University,/uploads/book/image/131/pharmaceutics_-_i6ebc5677-df6a-4cae-867f-09c6b3d0e713.jpg,2014-06-26 03:05:05 UTC,2014-06-26 03:05:05 UTC,Pharmacy (Ph),1,
132,Thermodynamics,,Techmax,Singhal B. L.,978-93-5077-238-6,,,425,Pune University,/uploads/book/image/132/thermodynamicsef8a1fa7-a2e0-4bb7-b47e-eb123a4efb9f.jpg,2014-06-26 03:05:06 UTC,2014-06-26 03:05:06 UTC,Mechanical Engg (ME),3,
133,Data Structure USing C++,,Techmax,Tikar Kiran,978-93-5077-331-4,,,195,Pune University,/uploads/book/image/133/data_structure_using_c%2B%2Bb865106f-62cf-465b-9be3-087b78a6bfb3.jpg,2014-06-26 03:05:07 UTC,2014-06-26 03:05:07 UTC,Master of Computer Application (MCA),3,
134,Engineering Mathematics III,,Techmax,Mitkari Santosh,978-93-5077-278-2,,,135,Pune University,/uploads/book/image/134/engineering_mathematics_iii289cdf39-f258-40ad-a45c-6018b80f501b.jpg,2014-06-26 03:05:08 UTC,2014-06-26 03:05:08 UTC,Mechanical Engg (ME),3,
135,Manufacturing Process I,,Techmax,Arora R.P.,978-93-5077-227-0,,,325,Pune University,/uploads/book/image/135/manufacturing_process_i843acb5e-3a58-40fe-a1db-3f51d25225e0.jpg,2014-06-26 03:05:09 UTC,2014-06-26 03:05:09 UTC,Mechanical Engg (ME),3,
136,Discrete Structures,,Techmax,Sultania Dilip Kumar,978-93-5077-337-6,,,265,Pune University,/uploads/book/image/136/discrete_structures620fe600-eed2-4e24-a360-c4432fd8860b.jpg,2014-06-26 03:05:10 UTC,2014-06-26 03:05:10 UTC,Comp. Sc. Engg (CSE),3,
137,Human Anatomy & Physiology - I,,Techmax,Chandrashekhar D Upasani,978-93-5077-344-4,,,180,Pune University,/uploads/book/image/137/human_anatomy___physiology_-_ide3f20eb-9ca3-4623-b096-400c987467e4.jpg,2014-06-26 03:05:10 UTC,2014-06-26 03:05:10 UTC,Pharmacy (Ph),1,
138,At a Glance Pharma Entrance Exams,,Techmax,Patil  Rajendra  B,978-81-8492-744-3,,,250,Pune University,/uploads/book/image/138/at_a_glance_pharma_entrance_exams374d017f-3d8c-409f-9dd9-df577579f3a0.jpg,2014-06-26 03:05:11 UTC,2014-06-26 03:05:11 UTC,Pharmacy (Ph),1,
139,Discrete Structures,,Techmax,Ranjan Nihar,978-93-5077-351-2,,,135,Pune University,/uploads/book/image/139/discrete_structuresb48be847-5292-4e4f-821c-11636fee4901.jpg,2014-06-26 03:05:12 UTC,2014-06-26 03:05:12 UTC,Comp. Sc. Engg (CSE),3,
140,Telecommunication Switching System,,Techmax,Joshi Jayashri,978-93-5077-188-0,,,395,Pune University,/uploads/book/image/140/telecommunication_switching_systemcc75337c-e188-4dca-8400-2169610bb721.jpg,2014-06-26 03:05:13 UTC,2014-06-26 03:05:13 UTC,E & TC (ECE::E & TC),8,
141,Automobile Engineering,,Techmax,Momin Gaffar,978-93-5077-355-0,,,185,Pune University,/uploads/book/image/141/automobile_engineeringe540cb5b-cf69-4bb8-9690-5f54565251f2.jpg,2014-06-26 03:05:14 UTC,2014-06-26 03:05:14 UTC,Mechanical Engg (ME),7,
142,Communication Engineering,,Techmax,Katre J. S.,,,,315,Pune University,/uploads/book/image/142/communication_engineering7a38cff5-cd5b-4e23-a315-5b139673c5b3.jpg,2014-06-26 03:05:15 UTC,2014-06-26 03:05:15 UTC,E & TC (ECE::E & TC),3,
143,Pharmaceutical Organic Chemistry - I,,Techmax,Kalyani D Asgaonkar,978-93-5077-359-8,,,225,Pune University,/uploads/book/image/143/pharmaceutical_organic_chemistry_-_ifce98620-17b1-4ab4-a95b-9dd8e5eebb77.jpg,2014-06-26 03:05:16 UTC,2014-06-26 03:05:16 UTC,Pharmacy (Ph),1,
144,Communication and Soft Skill Development,,Techmax,Kulkarni S.,978-93-5077-371-0,,,180,Pune University,/uploads/book/image/144/communication_and_soft_skill_developmentfdc4c6e8-a55a-4b51-a090-1c876ffe888d.jpg,2014-06-26 03:05:16 UTC,2014-06-26 03:05:16 UTC,Pharmacy (Ph),1,
145,Structural Design II,,Techmax,Chhawsaria Govind,978-81-8407-565-6PE82A,,,370,Pune University,/uploads/book/image/145/structural_design_iicf0a1e34-d6c3-4e97-bd90-31f85b1d12e4.jpg,2014-06-26 03:05:17 UTC,2014-06-26 03:05:17 UTC,Civil Engg (CIVIL),6,
146,Software Engineering,,Techmax,Ansari M. A.,81-P539,,,255,Pune University,/uploads/book/image/146/software_engineeringd6cc4cd8-ec29-4a6f-9344-91194942bb63.jpg,2014-06-26 03:05:18 UTC,2014-06-26 03:05:18 UTC,Comp. Sc. Engg (CSE),6,
147,Principle Of Programming Languages,,Techmax,Mane Deepak T.,81-P531,,,365,Pune University,/uploads/book/image/147/principle_of_programming_languagesb8e7ed62-803f-488d-ae92-b4715d424e80.jpg,2014-06-26 03:05:19 UTC,2014-06-26 03:05:19 UTC,Comp. Sc. Engg (CSE),6,
148,Computer Networks,,Techmax,Katre J. S.,81-P504,,,385,Pune University,/uploads/book/image/148/computer_networksfc326b6e-d334-4d4b-8953-bc0daccd2b55.jpg,2014-06-26 03:05:20 UTC,2014-06-26 03:05:20 UTC,Comp. Sc. Engg (CSE),6,
149,Finanace & Management Information System,,Techmax,Kulkarni S.,81-P488,,,285,Pune University,/uploads/book/image/149/finanace___management_information_system731529f9-6534-4b61-b0f2-c0dd10606d1e.jpg,2014-06-26 03:05:21 UTC,2014-06-26 03:05:21 UTC,Comp. Sc. Engg (CSE),6,
150,System Programming and Operating  System,,Techmax,Sultania Dilip Kumar,81-P509,,,345,Pune University,/uploads/book/image/150/system_programming_and_operating__system5a85718a-a02f-40e8-9dc3-6ba4b97882e0.jpg,2014-06-26 03:05:22 UTC,2014-06-26 03:05:22 UTC,Comp. Sc. Engg (CSE),6,
151,Distributed Operating Systems,,Techmax,Ansari M. A.,978-81-8492-641-5P561,,,335,Pune University,/uploads/book/image/151/distributed_operating_systems8a570efb-f7c6-4ee6-bad0-0959ff0d107b.jpg,2014-06-26 03:05:23 UTC,2014-06-26 03:05:23 UTC,Comp. Sc. Engg (CSE),8,
152,Advanced computer Architecture,,Techmax,Narula Harish,978-81-8492-653-8P562,,,245,Pune University,/uploads/book/image/152/advanced_computer_architectureb4b81108-674a-4dd4-ab45-9832a33f66e3.jpg,2014-06-26 03:05:23 UTC,2014-06-26 03:05:23 UTC,Comp. Sc. Engg (CSE),8,
153,Industrial Management,,Techmax,Kulkarni S.,81-P556,,,335,Pune University,/uploads/book/image/153/industrial_managementc3b3ae9b-b976-4b45-8568-34230dd21fef.jpg,2014-06-26 03:05:24 UTC,2014-06-26 03:05:24 UTC,E & TC (ECE::E & TC),6,
154,System Programming and Operating Systems,,Techmax,Sultania Dilip Kumar,81-P508,,,335,Pune University,/uploads/book/image/154/system_programming_and_operating_systems14031e61-fed9-40b2-bae7-f9620d85e07f.jpg,2014-06-26 03:05:25 UTC,2014-06-26 03:05:25 UTC,E & TC (ECE::E & TC),6,
155,Computer Organization & Architecture,,Techmax,Sultania Dilip Kumar,81-P523,,,455,Pune University,/uploads/book/image/155/comp._org.___architecture7a0405d6-e7ea-46a8-aea1-e0009f58e389.jpg,2014-06-26 03:05:26 UTC,2014-06-26 03:05:26 UTC,E & TC (ECE::E & TC),6,
156,Wave Theory and Antenna,,Techmax,Wali Sandeep,81-P548,,,435,Pune University,/uploads/book/image/156/wave_theory_and_antennadc6224e5-772a-4e9e-881d-f325e8e8789e.jpg,2014-06-26 03:05:27 UTC,2014-06-26 03:05:27 UTC,E & TC (ECE::E & TC),6,
157,Optical Fiber Communication,,Techmax,Kalavar Anasuya,978-81-8492-951-5,,,385,Pune University,/uploads/book/image/157/optical_fiber_communicationb43a6222-fc70-4626-a3f8-5d37a75edcb7.jpg,2014-06-26 03:05:28 UTC,2014-06-26 03:05:28 UTC,E & TC (ECE::E & TC),8,
158,Utilization of electrical Energy,,Techmax,Talange D.B.,978-81-8492-039-0P553,,,235,Pune University,/uploads/book/image/158/utilization_of_electrical_energyc1bc514e-3233-49a4-8aa2-303b91a48b25.jpg,2014-06-26 03:05:28 UTC,2014-06-26 03:05:28 UTC,Electrical Engg (ELE),6,
159,Design of Electrical Machines,,Techmax,Chaudhari M.A.,978-93-5077-154-9,,,270,Pune University,/uploads/book/image/159/design_of_electrical_machines706f46ba-ab05-417c-9364-e0e96ad07fa6.jpg,2014-06-26 03:05:29 UTC,2014-06-26 03:05:29 UTC,Electrical Engg (ELE),6,
160,Human Computer Interaction And Usability,,Techmax,Borde Santosh P.,81-P502,,,250,Pune University,/uploads/book/image/160/human_computer_interaction_and_usability5fa690e6-01ac-4f36-a1fc-e07f133a56d0.jpg,2014-06-26 03:05:30 UTC,2014-06-26 03:05:30 UTC,Info. Tech (IT),6,
161,Management  Information Systems,,Techmax,Diana Saroj K.,81-P524,,,315,Pune University,/uploads/book/image/161/management__information_systems159f195d-6ffa-4fd0-9b38-87661b4ea0b6.jpg,2014-06-26 03:05:31 UTC,2014-06-26 03:05:31 UTC,Info. Tech (IT),6,
162,Programming Paradigms,,Techmax,Mane Deepak T.,81-P530,,,365,Pune University,/uploads/book/image/162/programming_paradigms6bfc39a9-a525-4a49-a175-8b13975d3768.jpg,2014-06-26 03:05:32 UTC,2014-06-26 03:05:32 UTC,Info. Tech (IT),6,
163,System Software Programming,,Techmax,Sultania Dilip Kumar,81-P510,,,345,Pune University,/uploads/book/image/163/system_software_programming07646b09-9866-4c5d-a6bb-02d877ba9def.jpg,2014-06-26 03:05:33 UTC,2014-06-26 03:05:33 UTC,Info. Tech (IT),6,
164,Distributed System,,Techmax,Medhane Darshan,978-81-8492-070-3P555,,,295,Pune University,/uploads/book/image/164/distributed_systeme9deb284-77d5-405d-a73e-8e16709806bf.jpg,2014-06-26 03:05:34 UTC,2014-06-26 03:05:34 UTC,Info. Tech (IT),8,
165,Information Retrieval,,Techmax,Sultanpure Kavita,978-81-8492-053-6P554,,,265,Pune University,/uploads/book/image/165/information_retrieval5d4bf9b3-9e01-40ac-91e8-5e1839833762.jpg,2014-06-26 03:05:35 UTC,2014-06-26 03:05:35 UTC,Info. Tech (IT),8,
166,Metrology & Quality Control,,Techmax,Auti A. B,81-P540,,,345,Pune University,/uploads/book/image/166/metrology___quality_controlcc489051-d3e1-4f66-90c2-fc406ccda553.jpg,2014-06-26 03:05:36 UTC,2014-06-26 03:05:36 UTC,Mechanical Engg (ME),6,
167,Machine Design - II,,Techmax,Patil R. B.,81-P514,,,575,Pune University,/uploads/book/image/167/machine_design_-_ii5788a8dc-67cb-4c39-b9ac-99c9410b82d8.jpg,2014-06-26 03:05:37 UTC,2014-06-26 03:05:37 UTC,Mechanical Engg (ME),6,
168,Refrigeration & Air Conditioning,,Techmax,Singhal B. L.,81-P497,,,400,Pune University,/uploads/book/image/168/refrigeration___air_conditioning0ae19a98-4881-438a-b8b7-5e041a911df5.jpg,2014-06-26 03:05:38 UTC,2014-06-26 03:05:38 UTC,Mechanical Engg (ME),6,
169,Turbo Machines,,Techmax,Singhal B. L.,81-P496,,,400,Pune University,/uploads/book/image/169/turbo_machinesb9ded900-2c5a-4c5f-8a26-1eee1218c2a7.jpg,2014-06-26 03:05:39 UTC,2014-06-26 03:05:39 UTC,Mechanical Engg (ME),6,
170,Management Information Systems,,Techmax,Kulkarni S.,978-81-8492-985-0,,,245,Pune University,/uploads/book/image/170/management_information_systems7ef0f7a0-c66f-490f-aaa8-21e6541c0d2f.jpg,2014-06-26 03:05:40 UTC,2014-06-26 03:05:40 UTC,Mechanical Engg (ME),8,
171,Mechanical System Design,,Techmax,Patil R. B.,978-81-8492-974-4,,,500,Pune University,/uploads/book/image/171/mechanical_system_designb63ef431-1370-4ea5-92d0-4a4ba8b8b5ee.jpg,2014-06-26 03:05:41 UTC,2014-06-26 03:05:41 UTC,Mechanical Engg (ME),8,
172,Power Plant Engineering,,Techmax,Singhal B. L.,978-81-8492-953-9,,,415,Pune University,/uploads/book/image/172/power_plant_engineering67c3ba72-90ff-4785-b9e6-6ebfc7a4fc5e.jpg,2014-06-26 03:05:42 UTC,2014-06-26 03:05:42 UTC,Mechanical Engg (ME),8,
173,Optical Fiber Communication,,Techmax,Kalavar Anasuya,978-81-8492-951-5,,,385,Pune University,/uploads/book/image/173/optical_fiber_communication06b7d421-2b1d-402a-a9ee-ea5d7df99e6d.jpg,2014-06-26 03:05:43 UTC,2014-06-26 03:05:43 UTC,E & TC (ECE::E & TC),8,
174,Automobile Engineering,,Techmax,Momin Gaffar,978-93-5077-355-0,,,185,Pune University,/uploads/book/image/174/automobile_engineeringabb5c784-d967-4636-b23f-a45990682999.jpg,2014-06-26 03:05:43 UTC,2014-06-26 03:05:43 UTC,Mechanical Engg (ME),7,
175,Software Engineering,,Techmax,Ansari M. A.,81-P539,,,255,Pune University,/uploads/book/image/175/software_engineering163100c3-25e1-4e81-a6e1-d1bd2dab1d01.jpg,2014-06-26 03:05:44 UTC,2014-06-26 03:05:44 UTC,Comp. Sc. Engg (CSE),6,
176,Communication Engineering,,Techmax,Katre J. S.,,,,315,Pune University,/uploads/book/image/176/communication_engineeringe95e00d8-5d1f-4fc6-9061-7c471cc15cb5.jpg,2014-06-26 03:05:45 UTC,2014-06-26 03:05:45 UTC,E & TC (ECE::E & TC),3,
177,Basic Mechanical Engineering,,Techmax,Patil R. B.,978-93-5077-158-7,,,415,Pune University,/uploads/book/image/177/basic_mechanical_engineering145282aa-00a0-4857-956b-2896c43f0caa.jpg,2014-06-26 03:05:46 UTC,2014-06-26 03:05:46 UTC,First Year Engg (FE),2,
178,Fundamentals of Programming Languages II,,Techmax,Sultanpure Kavita,978-93-5077-161-7,,,300,Pune University,/uploads/book/image/178/fundamentals_of_programming_languages_ii35532342-5ff4-440a-a1cf-b9c195da64af.jpg,2014-06-26 03:05:47 UTC,2014-06-26 03:05:47 UTC,First Year Engg (FE),2,
179,Fluid Mechanics I,,Techmax,Jain Indrajeet M.,978-93-5077-413-7,,,595,Pune University,/uploads/book/image/179/fluid_mechanics_i5b8f7e6a-218d-4889-a5a8-9bab3aa0696c.jpg,2014-06-26 03:05:48 UTC,2014-06-26 03:05:48 UTC,Civil Engg (CIVIL),4,
180,Concrete Technology,,Techmax,Jain Indrajeet M.,978-93-5077-446-5,,,295,Pune University,/uploads/book/image/180/concrete_technology0184c3f8-898f-4f0c-b235-79f4a9c1a01c.jpg,2014-06-26 03:05:49 UTC,2014-06-26 03:05:49 UTC,Civil Engg (CIVIL),4,
181,Applied Thermodynamics,,Techmax,Singhal B. L.,978-93-5077-415-1,,,425,Pune University,/uploads/book/image/181/applied_thermodynamics4187606c-c33c-472f-95be-895792add128.jpg,2014-06-26 03:05:49 UTC,2014-06-26 03:05:49 UTC,Mechanical Engg (ME),4,
182,Theory of Machines - I,,Techmax,Sayyed F.B.,978-93-5077-422-9,,,595,Pune University,/uploads/book/image/182/theory_of_machines_-_ie4437e7c-f4f1-462c-9647-ed4adbdfd108.jpg,2014-06-26 03:05:50 UTC,2014-06-26 03:05:50 UTC,Mechanical Engg (ME),4,
183,Electronics and Electrical Engineering,,Techmax,Katre J. S.,978-93-5077-441-0,,,495,Pune University,/uploads/book/image/183/electronics_and_electrical_engineering5cf0de0f-80f6-4a03-bc10-5db1b21dd233.jpg,2014-06-26 03:05:51 UTC,2014-06-26 03:05:51 UTC,Mechanical Engg (ME),4,
184,Engineering Metallurgy,,Techmax,Deshpande Sunil,978-93-5077-424-3,,,385,Pune University,/uploads/book/image/184/engineering_metallurgy9eb48667-ee4c-404d-a4f6-a7eb83a4b08e.jpg,2014-06-26 03:05:52 UTC,2014-06-26 03:05:52 UTC,Mechanical Engg (ME),4,
185,Processor Architecture & Interfacing,,Techmax,Shah Urvashi S.,978-93-5077-416-8,,,595,Pune University,/uploads/book/image/185/processor_architecture___interfacingc420fe32-5a5b-45ed-b544-ff0301d86a5b.jpg,2014-06-26 03:05:53 UTC,2014-06-26 03:05:53 UTC,Info. Tech (IT),4,
186,Data Structures & Files,,Techmax,Sultania Dilip Kumar,978-93-5077-429-8,,,565,Pune University,/uploads/book/image/186/data_structures___files1fcac77d-0e89-421a-9c15-705e15e4baa6.jpg,2014-06-26 03:05:54 UTC,2014-06-26 03:05:54 UTC,Info. Tech (IT),4,
187,Foundations of Computer Network,,Techmax,Katre J. S.,978-93-5077-435-9,,,495,Pune University,/uploads/book/image/187/foundations_of_computer_networke67d21e1-9346-4397-9ff2-c8537da02688.jpg,2014-06-26 03:05:55 UTC,2014-06-26 03:05:55 UTC,Info. Tech (IT),4,
